"","sample_type_stool","treatment_stool","visit_stool","antibiotics_stool","age_stool","sex_stool","NSAIDS_use_stool","BMI_stool","interaction_stool","subject_stool","sample_type_swab","treatment_swab","visit_swab","antibiotics_swab","age_swab","sex_swab","NSAIDS_use_swab","BMI_swab","interaction_swab","subject_swab","sample_type_tissue","treatment_tissue","visit_tissue","antibiotics_tissue","age_tissue","sex_tissue","NSAIDS_use_tissue","BMI_tissue","interaction_tissue","subject_tissue"
"Lactobacillus",0.000337108670996993,-0.407757890492998,1.55675838097173,-0.360501029712656,1.11322816568063,-0.630891134374955,-1.87936265635694,-0.462202711524591,0.0373481274506776,3.58638635355399,-0.367820233128527,-0.326696954156974,1.56754241951527,0.0255016423108405,2.10529712236997,0.0785779387441601,-0.840602801891422,-0.0226192313251103,0.412581654134447,5.37875966983417,-0.572188091269806,-0.0698439930281269,1.27704010199711,0.560598606326345,2.88036216520718,-0.974818328560876,-0.957860194441459,-0.0118764966219484,0.334832023526624,12.6591362996508
"Streptococcus",-114.385290834144,0.979001731556255,0.466857223920976,0.606664409122618,1.33152454884626,-1.09250256810532,-0.0842715680770933,0.322440452635316,0.100774342462861,4.87114770262895,-75.9407940420424,0.342862005897231,0.448434419078055,-0.00761867268396422,2.39254132556945,-1.26270897472345,0.387536583021727,1.28619233595992,-0.0458436639872591,8.86288405689337,11.8440090375816,0.284867136006143,0.229139943987759,0.224845483394275,2.67459058765003,-0.757863116704507,-0.243539651923933,0.876039759504781,0.0241631387519013,16.4614819879927
"Clostridiaceae_noname",-39.292881712212,0.125845182050609,-0.499617554128168,-1.09576647604219,-0.278173389400027,-0.635899704419343,0.132612166171709,-0.405163030534922,0.221150758992155,7.63106552853408,-33.0518528789049,0.0665551049932943,0.0222424798214782,-0.188545622251413,-0.0662322271455546,0.114011133323457,0.468375797229584,-0.677758052133077,0.243012087883077,10.0079520500475,2.56494970115414,0.071447570176253,-0.848605751425389,-0.51282916184381,-0.201857820731538,-0.269436408996896,0.146148496533744,-0.528721471261227,0.712858451559354,35.9020529117609
"Clostridium",-105.480576036604,0.185050759050283,0.147682338509607,0.0384670549018536,1.34540268732348,-3.25369803124376,0.357165835168082,0.51483512490275,0.0703199586618511,11.9371379803953,-109.197472310584,0.250466541430051,0.393765750791825,0.670089730677196,1.27698479936283,-2.48253201881416,0.131697542187794,0.566671393839416,-0.0418557672889526,13.3460767094305,1.58351133359617,0.957067005589928,-0.25099282900582,0.586620971290528,0.476629550959058,-2.43766993886812,0.540735938599463,0.293849536297303,-0.00115081647315538,28.4118479544465
"Clostridiales_noname",-80.3760685588522,0.0321280569793007,-0.473394730269634,-0.514726358779482,0.345035246501621,-5.80593195730339,0.567425911732546,0.10989614457441,0.724389132894148,3.71411773930825,-53.5842858121969,0.664127758661042,-0.23045973805066,0.326190447703901,0.0731163715125656,-2.3353484805506,0.251308098478634,0.0116595935003468,0.0238264785798376,8.29887446704577,9.64894283078239,0.436028295942516,-0.598598524559466,-0.0142457259081314,0.209905605080476,-5.90871956699359,0.377216304294859,-0.00693772220177373,0.300935238383157,18.7747456290386
"Flavonifractor",-110.139316904007,0.0329667975279986,-1.54820721586092,-0.903936477917759,-0.882669336857802,-3.14067258403475,1.52478380895366,0.849351951553898,0.642001711962568,6.99284674856403,-170.485794473704,0.123269772309963,-0.62065085921052,0.0410265654560046,-1.02394617587444,-0.93467227041935,1.25761615768002,0.921359604301351,0.199742731959722,14.8325772295852,-3.94016490807442,0.119385819442103,-2.23874670625877,-0.229834343522065,-1.14438256930193,-2.32994423650624,0.962531628746705,0.843407686363868,0.923812525389536,34.4956510243833
"Pseudoflavonifractor",-33.0064129036088,-1.08993360783583,-1.08901463077086,-0.035684541549162,0.319149793872766,-2.5170372149519,0.694967704404261,-2.79152226733483,0.678124204468421,4.83773867293015,-63.5032673380575,-1.09402802803797,-1.49748370207022,0.108614438247396,0.281577874722227,-0.0273337982724921,-0.0133556059455428,-1.8302919678452,0.327336310927336,9.42251868588698,-9.44409519312209,-1.56552662506497,-2.70617510378826,0.104675605047639,0.210239445055072,-0.902713568383992,0.359201586974732,-2.75324535016234,1.03891182195084,38.5819434850755
"Eubacterium",-6.21803037983803,-0.0463808900846951,-1.55229219255223,-0.638339756174409,-0.0328806669205479,0.594977552341493,-0.253025595668328,0.340930720746718,0.647143255309562,14.7221958664125,-4.53873027085919,-0.0905698876615076,-1.22247748355913,-0.611119253618948,-0.0892012420664877,0.474063177492123,-0.173896518064321,0.125001859582282,0.401275509646313,18.6958252315667,1.14387325582936,-0.754040762214355,-2.29941923279037,-0.274340677614308,0.492329754641597,0.987831915867231,-0.0906869837985079,0.032273969283991,1.93373679601799,46.3010784172778
"Anaerostipes",-18.0568810785785,0.108155828086,-0.0662778187925197,0.377409816076679,-2.23423133107744,-0.904634692113531,1.34182039850583,-0.109551466960061,0.226282679594948,5.28451373609892,-55.6050704245768,0.180317400884706,-0.17119069018888,-0.0439181908025179,-0.648767899223852,-0.682043986643427,0.739088819940393,-0.199498972587562,0.22558996291989,6.42894047666192,-20.2523405645679,0.0546749019810044,-0.384622955310816,0.0974944742771915,-1.15516953739712,-0.759166685778562,0.77415272860741,-0.160871628169239,0.536215616341761,20.5305588718499
"Blautia",-55.0945787733546,-0.0968684182857567,-0.26463932885411,0.293431229060353,0.365888594768312,-0.476320455357838,0.879353077299734,0.365180174590429,-0.0421236980157674,3.90254814864526,-62.2034754163079,-0.0816652710252885,-0.0731392251850522,0.57627464365696,0.287011897145993,-0.397920649662256,0.571927456827612,0.225098296934472,-0.322970604645825,2.74052837142403,-0.224448781129624,-0.0829880566304678,-0.799465539648383,-0.582913264993963,0.654523476690013,0.0851247328179952,1.31795861516392,1.10243496549403,0.493507037948276,5.39557244770463
