"","","","","","perc"
"1020","SW00120",1231181,15393261,"SW",0.0799818180176377
"1021","SW00121",1577441,10940195,"SW",0.144187649306068
"1022","SW00122",2695898,10802412,"SW",0.249564449124881
"1023","SW00123",5395852,10175812,"SW",0.530262548089528
"1024","SW00124",17800615,18249121,"SW",0.975423145038054
"1025","SW00125",8359815,11535405,"SW",0.724709275487077
"1026","SW00126",2171412,13824887,"SW",0.157065442921884
"1027","SW00127",1806486,11992198,"SW",0.150638440092467
"1028","SW00128",10189555,10423587,"SW",0.977547844134653
"1029","SW00129",4418606,17599161,"SW",0.251069127670347
"1030","SW00130",9228052,13205878,"SW",0.698783677995511
"1031","SW00131",1535910,11521333,"SW",0.13331009528151
"1032","SW00132",2484531,9599583,"SW",0.258816554844101
"1033","SW00133",5982812,12065480,"SW",0.495861913492045
"1034","SW00134",1029248,14418920,"SW",0.0713817678439162
"1035","SW00135",2530409,18979702,"SW",0.13332185089102
"1036","SW00136",6277070,11189414,"SW",0.560982907594625
"1037","SW00137",7654615,17842477,"SW",0.42901078140664
"1038","SW00138",3888915,10519315,"SW",0.369692798437921
"1039","SW00139",6138435,26022155,"SW",0.2358926460933
"1040","SW00140",3077728,11232720,"SW",0.273996681124429
"1041","SW00141",9492659,14742725,"SW",0.643887680194808
"1042","SW00142",1056435,11647280,"SW",0.0907022927241382
"1043","SW00144",652077,12497247,"SW",0.0521776516059897
"1044","SW00145",2005909,13256008,"SW",0.151320744525803
"1045","SW00146",3107651,10526692,"SW",0.295216293969654
"1046","SW00147",2737322,12579251,"SW",0.217606119792029
"1047","SW00148",13137037,16162836,"SW",0.81279281680517
"1048","SW00149",10501193,13661777,"SW",0.768654985365374
"1049","SW00150",9906103,10515868,"SW",0.94201477234214
"1050","SW00151",7305436,12992220,"SW",0.562293126193984
"1051","SW00152",3465758,9870416,"SW",0.351125828941759
"1052","SW00153",13021234,18311536,"SW",0.7110945799413
"1053","SW00154",4080742,12240244,"SW",0.33338730829222
"1054","SW00155",16211921,17884742,"SW",0.906466584756996
"1055","SW00156",11389552,12518702,"SW",0.909802949219496
"1056","SW00157",5593325,10419577,"SW",0.536809219798462
"1057","SW00158",12851860,14297542,"SW",0.898885976344745
"1058","SW00159",9457847,11797676,"SW",0.801670345922366
"1059","SW00160",5389794,13593363,"SW",0.396501881101829
"1060","SW00161",721791,3174623,"SW",0.227362745119657
"1061","SW00163",1397523,11662561,"SW",0.11982985555231
"1062","SW00164",10307212,11731257,"SW",0.878611047392449
"1063","SW00165",10457825,15095997,"SW",0.692754840902525
"1064","SW00166",14765249,15798110,"SW",0.934621230007893
"1065","SW00167",2698628,12205743,"SW",0.221094938669444
"1066","SW00168",17952005,20039889,"SW",0.895813594576297
"1067","SW00169",1588182,15959422,"SW",0.0995137543201753
"1068","SW00170",4840700,20294754,"SW",0.238519767226545
"1069","SW00171",12946371,13572798,"SW",0.953846878145538
"1070","SW00172",512550,10038260,"SW",0.0510596457951876
"1071","SW00173",12896164,14695413,"SW",0.877563903784126
"1072","SW00174",7043604,12163163,"SW",0.579093119117124
"1073","SW00175",1962696,7159758,"SW",0.274128818320396
"1074","SW00176",11691369,14200341,"SW",0.823316073888648
"1075","SW00177",9009040,11788517,"SW",0.764221657397618
"1076","SW00178",16177905,16621657,"SW",0.973302782027087
"1077","SW00179",2544879,10632003,"SW",0.239360259774193
"1078","SW00180",5414521,11530774,"SW",0.469571340137271
"1079","SW00181",1107159,13411927,"SW",0.0825503300159627
"1080","SW00182",4395859,12927447,"SW",0.340040767523549
"1081","SW00183",5500843,13609719,"SW",0.404184906389324
"1082","SW00184",4244064,13797643,"SW",0.307593405627323
"1083","SW00185",9536406,10560031,"SW",0.903066098953687
"1084","SW00186",6580219,13224932,"SW",0.497561650978621
"1085","SW00187",4219392,15626189,"SW",0.270020540516949
"1086","SW00188",218793,7762435,"SW",0.0281861297389286
"1087","SW00189",8197525,8778283,"SW",0.933841504084569
"1088","SW00190",4649920,11281608,"SW",0.412168194463059
"1089","SW00191",2040939,15309091,"SW",0.13331549208245
"1090","SW00192",5350112,5403063,"SW",0.990199818140192
"1091","SW00194",764537,11382080,"SW",0.0671702360201299
"1092","SW00195",2530078,8193727,"SW",0.308782316032741
"1093","SW00196",2171300,9160211,"SW",0.237036024606857
"1094","SW00197",4488195,16701656,"SW",0.268727544142928
"1095","SW00198",8915763,17069072,"SW",0.522334371780727
"1096","SW00199",913757,11675060,"SW",0.0782657219748764
"1097","SW00200",5930651,14305726,"SW",0.414564839281837
"1098","SW00201",1397688,9310320,"SW",0.150122444770964
"1099","SW00202",2170495,12045625,"SW",0.180189487884605
"1100","SW00203",12050106,15362695,"SW",0.784374486377553
"1101","SW00204",593273,16221911,"SW",0.03657232492522
"1102","SW00205",7019428,17952711,"SW",0.390995432389014
"1103","SW00206",9238961,12990255,"SW",0.711222450983449
"1104","SW00207",9982992,10226965,"SW",0.976144144426034
"1105","SW00208",7036683,9063436,"SW",0.776381385602546
"1106","SW00209",121400,2687240,"SW",0.0451764635834537
"1107","SW00210",3611619,12347601,"SW",0.292495602992031
"1108","SW00211",13231956,16892457,"SW",0.783305590181464
"1109","SW00212",12520378,13057125,"SW",0.958892405487425
"1110","SW00213",11804537,14136080,"SW",0.835064388430173
"1111","SW00214",22501489,27527331,"SW",0.817423563512205
"1112","SW00215",11598301,15046290,"SW",0.770841250567416
"1113","SW00216",8124851,14642040,"SW",0.554898839232784
"1114","SW00217",3887064,9234450,"SW",0.420930753861898
"1115","SW00218",398619,10792221,"SW",0.0369357706814936
"1116","SW00219",2667899,11313300,"SW",0.235819698938418
"1117","SW00220",4602643,17406787,"SW",0.26441657498308
"1118","SW00221",932875,11478570,"SW",0.0812710119814576
"1119","SW00222",320040,11362643,"SW",0.0281659821574963
"1120","SW00223",2904007,10417205,"SW",0.278770265152697
"1121","SW00224",17368792,19354363,"SW",0.897409643500021
"1122","SW00225",4132007,11474651,"SW",0.360098708012993
"1123","SW00226",3884947,11111965,"SW",0.349618361828893
"1124","SW00227",6129246,13147953,"SW",0.466174924720221
"1125","SW00228",10454854,12386783,"SW",0.844033031013783
"1126","SW00229",12507218,18955407,"SW",0.659823236715519
"1127","SW00230",875823,15489892,"SW",0.0565415820846265
"1128","SW00231",514903,14940719,"SW",0.0344630670050083
"1129","SW00232",6277299,13261163,"SW",0.47335961408513
"1130","SW00233",11006390,13069784,"SW",0.842124858375624
"1131","SW00234",7188655,16715285,"SW",0.430064758094164
